ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,0.2637362637362638,0.9411925601750548,2,0.17564355285438146,2003-02-24,Shipped,1,2,2003,1,95,S10_1678,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,2
10121,0.3076923076923077,0.7449398249452954,5,0.16791599237390514,2003-05-07,Shipped,2,5,2003,1,95,S10_1678,66,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,6,EMEA,Henriot,Paul,2
10134,0.38461538461538464,0.9280634573304156,2,0.25015017642513204,2003-07-01,Shipped,3,7,2003,1,95,S10_1678,46,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,6,EMEA,Da Cunha,Daniel,1
10145,0.4285714285714286,0.7710612691466083,6,0.24003008675307913,2003-08-25,Shipped,3,8,2003,1,95,S10_1678,85,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,18,,Young,Julie,1
10159,0.4725274725274726,1.0,14,0.34727259759997126,2003-10-10,Shipped,4,10,2003,1,95,S10_1678,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,1
10168,0.3296703296703297,0.9543216630196936,1,0.2204031124937228,2003-10-28,Shipped,4,10,2003,1,95,S10_1678,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,1
10180,0.2527472527472528,0.8103118161925602,9,0.1482015224249982,2003-11-11,Shipped,4,11,2003,1,95,S10_1678,26,20.16.1555,"184, chausse de Tournai",,Lille,,59000,6,EMEA,Rance,Martine,2
10188,0.46153846153846156,1.0,1,0.36984869127770914,2003-11-18,Shipped,4,11,2003,1,95,S10_1678,40,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,11,EMEA,Oeztan,Veysel,1
10201,0.17582417582417587,0.9804431072210065,2,0.12399462673530057,2003-12-01,Shipped,4,12,2003,1,95,S10_1678,56,6505555787,5557 North Pendale Street,,San Francisco,CA,,18,,Murphy,Julie,2
10211,0.38461538461538464,1.0,14,0.3107427795836529,2004-01-15,Shipped,1,1,2004,1,95,S10_1678,9,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,6,EMEA,Perrier,Dominique,1
10223,0.3406593406593407,1.0,1,0.2561292936303874,2004-02-20,Shipped,1,2,2004,1,95,S10_1678,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,1
10237,0.18681318681318687,1.0,7,0.13609550117751554,2004-04-05,Shipped,2,4,2004,1,95,S10_1678,88,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,18,,Frick,Michael,2
10251,0.2417582417582418,1.0,2,0.1989982846433301,2004-05-18,Shipped,2,5,2004,1,95,S10_1678,80,2015559350,7476 Moss Rd.,,Newark,NJ,94019,18,,Brown,William,1
10263,0.3076923076923077,1.0,2,0.2348876930327698,2004-06-28,Shipped,2,6,2004,1,95,S10_1678,35,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,18,,King,Julie,1
10275,0.4285714285714286,0.9019420131291027,1,0.27169396801775214,2004-07-23,Shipped,3,7,2004,1,95,S10_1678,44,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,6,EMEA,Labrune,Janine,1
10285,0.3296703296703297,1.0,6,0.2659832199443116,2004-08-27,Shipped,3,8,2004,1,95,S10_1678,48,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,18,,Hernandez,Marta,1
10299,0.18681318681318687,1.0,9,0.15552616157880458,2004-09-30,Shipped,3,9,2004,1,95,S10_1678,84,90-224 8555,Keskuskatu 45,,Helsinki,,21240,5,EMEA,Karttunen,Matti,2
10309,0.38461538461538464,1.0,5,0.28765127012125147,2004-10-15,Shipped,4,10,2004,1,95,S10_1678,11,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,11,EMEA,Bergulfsen,Jonas,1
