ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,HIGH_VALUE,PREDICTED_HIGH_VALUE,PRODUCTLINE_DECODED,COUNTRY_DECODED,DEALSIZE_DECODED,CUSTOMERNAME_DECODED
10159,0.4725274725274726,1.0,14,0.3472725975999712,2003-10-10,Shipped,4,10,2003,1,95,S10_1678,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,1,1,1,Motorcycles,USA,Medium,Corporate Gift Ideas Co.
10188,0.4615384615384615,1.0,1,0.3698486912777091,2003-11-18,Shipped,4,11,2003,1,95,S10_1678,40,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,11,EMEA,Oeztan,Veysel,1,1,1,Motorcycles,Norway,Medium,Herkku Gifts
10211,0.3846153846153846,1.0,14,0.3107427795836529,2004-01-15,Shipped,1,1,2004,1,95,S10_1678,9,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,6,EMEA,Perrier,Dominique,1,1,1,Motorcycles,France,Medium,Auto Canal Petit
10223,0.3406593406593407,1.0,1,0.2561292936303874,2004-02-20,Shipped,1,2,2004,1,95,S10_1678,6,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,0,APAC,Ferguson,Peter,1,0,1,Motorcycles,Australia,Medium,"Australian Collectors, Co."
10285,0.3296703296703297,1.0,6,0.2659832199443116,2004-08-27,Shipped,3,8,2004,1,95,S10_1678,48,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,18,,Hernandez,Marta,1,0,1,Motorcycles,USA,Medium,Marta's Replicas Co.
10309,0.3846153846153846,1.0,5,0.2876512701212514,2004-10-15,Shipped,4,10,2004,1,95,S10_1678,11,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,11,EMEA,Bergulfsen,Jonas,1,0,1,Motorcycles,Norway,Medium,Baane Mini Imports
10329,0.3956043956043956,1.0,1,0.2877806755108389,2004-11-15,Shipped,4,11,2004,1,95,S10_1678,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,1,0,1,Motorcycles,USA,Medium,Land of Toys Inc.
10341,0.3846153846153846,1.0,9,0.5334884237320663,2004-11-24,Shipped,4,11,2004,1,95,S10_1678,70,6562-9555,Geislweg 14,,Salzburg,,5020,1,EMEA,Pipps,Georg,0,1,1,Motorcycles,Austria,Large,Salzburg Collectables
10417,0.6593406593406594,1.0,2,0.5171767273229922,2005-05-13,Disputed,2,5,2005,1,95,S10_1678,33,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,14,EMEA,Freyre,Diego,0,1,1,Motorcycles,Spain,Large,Euro Shopping Channel
10112,0.2527472527472528,1.0,1,0.4946065157084174,2003-03-24,Shipped,1,3,2003,0,214,S10_1949,89,0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,15,EMEA,Berglund,Christina,0,1,1,Classic Cars,Sweden,Large,"Volvo Model Replicas, Co"
