ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Cluster,PCA1,PCA2
10107,0.2637362637362638,0.9411925601750548,2,0.1756435528543814,2003-02-24,Shipped,1,2,2003,1,95,S10_1678,45,2125557818,897 Long Airport Avenue,,NYC,NY,10022,18,,Yu,Kwai,2,2,0.13447897847546053,-0.11494272849479054
10121,0.3076923076923077,0.7449398249452954,5,0.1679159923739051,2003-05-07,Shipped,2,5,2003,1,95,S10_1678,66,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,6,EMEA,Henriot,Paul,2,2,-0.05024003678011579,-0.0359970820559945
10134,0.3846153846153846,0.9280634573304156,2,0.250150176425132,2003-07-01,Shipped,3,7,2003,1,95,S10_1678,46,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,6,EMEA,Da Cunha,Daniel,1,2,0.1529723769977558,0.024579505048742456
10145,0.4285714285714286,0.7710612691466083,6,0.2400300867530791,2003-08-25,Shipped,3,8,2003,1,95,S10_1678,85,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,18,,Young,Julie,1,2,0.004174559501376018,0.09197169051606097
10159,0.4725274725274726,1.0,14,0.3472725975999712,2003-10-10,Shipped,4,10,2003,1,95,S10_1678,23,6505551386,7734 Strong St.,,San Francisco,CA,,18,,Brown,Julie,1,1,0.2576940537692809,0.13107060573423557
10168,0.3296703296703297,0.9543216630196936,1,0.2204031124937228,2003-10-28,Shipped,4,10,2003,1,95,S10_1678,79,6505556809,9408 Furth Circle,,Burlingame,CA,94217,18,,Hirano,Juri,1,2,0.16500284602967896,-0.041568859247463064
10180,0.2527472527472528,0.8103118161925602,9,0.1482015224249982,2003-11-11,Shipped,4,11,2003,1,95,S10_1678,26,20.16.1555,"184, chausse de Tournai",,Lille,,59000,6,EMEA,Rance,Martine,2,2,0.0019149249417313996,-0.10614015281435675
10188,0.4615384615384615,1.0,1,0.3698486912777091,2003-11-18,Shipped,4,11,2003,1,95,S10_1678,40,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,11,EMEA,Oeztan,Veysel,1,1,0.26512628397715243,0.13646543074441797
10201,0.1758241758241758,0.9804431072210064,2,0.1239946267353005,2003-12-01,Shipped,4,12,2003,1,95,S10_1678,56,6505555787,5557 North Pendale Street,,San Francisco,CA,,18,,Murphy,Julie,2,2,0.14972769418591392,-0.2225234183686937
10211,0.3846153846153846,1.0,14,0.3107427795836529,2004-01-15,Shipped,1,1,2004,1,95,S10_1678,9,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,6,EMEA,Perrier,Dominique,1,1,0.2414580202386878,0.04274945782761991
